id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
156643,216565,SuperLite 1500 Series: Oekaki Puzzle 1,NULL,1999-05-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
101961,63168,SuperLite 1500 series: Sudoku,NULL,1999-05-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120424,205715,Superlite 1500: Pangaea,NULL,1999-08-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
179925,3005,Superman: The New Superman Adventures,NULL,1999-05-31 00:00:00.000,3,NULL,NULL,NULL,18.7401,22
156602,9277,Supreme Snowboarding,NULL,1999-12-31 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
47390,138290,SURREALITY - Expressions of the Unconscious,"Three levels of play! 
 
There are three levels of action, presented in sequence, allowing a free choice of deepening for the adventurer, where the degree of immersion in the world of Surrealism will be decided in any way that suits him: 
 
 Real World - It is the first level, for those who do not dare to enter the mind. This world offers a wide range of material regarding Surrealism. Ideal for those who just want to do research. 
 
 Human Mind - Conscious: You have already entered the human mind, now your perception of the world around you is slightly changed, explore as you wish. There are several environments that keep countless surprises for the one who is brave. Ideal for those who want to delve deeper into the Surrealist universe, here you also have extensive research material, apart from some surprises that await you. 
 
 Human Mind - Unconscious: Finally you reach the heart of Surreality. The Unconscious reserves many surprises in addition to those that your eyes can reach. Make no mistake, explore as much as possible, talk to everyone and try different possibilities, you will not be punished for trying, most of the time you will have another chance. There are several secrets in countless environments. If you are able, you will achieve your ultimate goal, the Macrocosm! 
 
 Three Finals! 
 
Play multiple times! In addition to not having a linear order to explore the universe of Surreality, you will have three totally different endings at your disposal. Your attitudes during the journey will influence your future decisions. 
 
 Innovative! 
 
A totally original and unprecedented concept, it combines the excitement of adventure games with knowledge, culture and art. Explore a huge 3D world, find important elements and take them with you so you can use them later. Talk to beings of different personalities, each one behaves in a different way and has a different way of thinking, it is up to you to interact with them in any way you want. 
 
 Extra Attractions! 
 
There are several attractions that will give Surreality a long life, here are some of them: 
 
 “Automatic Writing” machine - Try and have fun for hours in a game that allows you to create more than 1 million phrases! You will never see a phrase repeated. Get ready for the unusual, as you will really be amazed by this machine. 
 
 “Delicate Corpse” - It is another Surrealistic game, you will be asked for a word, between verb, subject and adjective. Write and watch the other participants in the game write without one knowing what the other wrote. Get ready for lots of laughter and amazement. This game is a real emulator of “Delicate Corpse”, each participant thinks like a real person and the game will reflect that. Must-see, play for hours. 
 
 ""Razor"" - Based on a Surrealistic concept, ""A razor in the eye of society"", play as much as you like this mini action game and try to end the eye of society. Extreme fun. 
 
 And it's not just these attractions. You will also find the film “Um Cão Andaluz”, a masterpiece by Luis Buñuel and Salvador Dali, in its full version, without cuts. In addition, answer a game of questions, try to open the psychic locks, listen to hidden music, see unpublished pictures, discover highly hidden secrets and many more attractions that will make you travel for hours on end regardless of fulfilling the goal of reaching the goal. Macrocosm. 
 
 Original Soundtrack! 
 
There are over 40 minutes of top quality music created exclusively for the Universe of Surreality! Original and engaging, a lot of Rock, techno and New Age. 
 
 Hours of Dialogues! 
 
Talk in a non-linear way with the beings that inhabit Surreality! Many of the conversations are optional, and increase interest in the subject at hand. In addition to tips for continuing the adventure, you can earn some valuable items essential to achieve the Macrocosm. In addition, you will also learn a lot about Surrealism and its Techniques. 
 
 Interactive Scenarios! 
 
More than 1500 richly rendered and animated navigation screens in a 3D world. The first person view will put you inside the plot. Interact with the elements of the scenarios in a free way. 
 
More than 15 totally different environments, each one with dozens of scenes. 
 
 Videos! 
 
Increasing your interaction, more than 20 minutes of “full motion” video, including the full film by Luis Buñuel and Salvador Dali, “Um Cão Andaluz”. 
 
 Texts! 
 
The entire text is exclusively available in the book, that is, you can consult it at any time after having it in your inventory. In the book, in addition to the history of Surrealism, you will learn about the Pre-Surrealists, you will see images and photographs, you will have the Surrealist manifesto, written by André Breton in full, in addition to a lot of useful information for those looking to know more about this movement. 
 
 Surreality! A unique experience! 
 
An Adventure Without Limits!",1999-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
117231,25968,Survival Kids,NULL,1999-06-17 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
92677,80332,Sven Co-op,NULL,1999-01-19 00:00:00.000,1,NULL,NULL,NULL,79.4915,9
10313,63166,Swarm Assault,NULL,1999-10-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
40601,313,SWAT 3: Close Quarters Battle,NULL,1999-11-23 00:00:00.000,10,NULL,NULL,NULL,80.7994,23
39037,73422,Swedish Touring Car Championship,NULL,1999-11-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12032,73659,Swing Plus: Total Mindcontrol,NULL,1999-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
158709,28840,Sword of the Berserk: Guts' Rage,NULL,1999-12-16 00:00:00.000,3,NULL,NULL,NULL,76.5866,11
181895,50556,Sylvanian Families: Otogi no Kuni no Pendant,NULL,1999-11-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
103312,4115,Syphon Filter,"Gabriel Logan and Lian Xing are operatives of The Agency, on the trail of Erich Rhoemer, an international terrorist. In August of 1999, Agent Ellis attempted to infiltrate Rhoemer's narcotics operation in Guácimo, Costa Rica, but was discovered and executed by ex-KGB agent Mara Aramov. Rhoemer then ordered Anton Girdeux, a French mercenary, to burn down the plantation to hide the evidence of their Syphon Filter research.

In Washington, D.C., Edward Benton, the Agency Deputy Director, is briefing Logan's mission to Agency Director Thomas Markinson and a shadowy, unnamed figure. Several weeks later, Gabe and Lian investigate a mysterious viral outbreak in the Himalayas, which leaves only a single survivor. (Lian describes this as impossible.)

The game begins one month after the events in Costa Rica. Rhoemer and his terrorists have launched an assault on Washington, D.C. Gabe defeats Pavel Kravitch, Rhoemer's communications expert, which allows him to gain entry to the Washington Metro. Once inside, an explosive goes off leaving Gabe trapped underground. He pursues Aramov, catching her in the tunnels before heading to a nearby park to aid in the defusing of several viral bombs, where he learns that Aramov has escaped custody. Making his way to the Freedom Memorial, Gabe takes on and defeats Jorge Marcos, Rhoemer's trigger man, before he incinerates Girdeaux.

Lab results show that Syphon Filter is a deadly next-generation biological weapon, capable of targeting specific demographics. Jonathan Phagan, PHARCOM's CEO and founder, attends a gala at his new Expo Center Museum in New York City, where he is taken captive by Aramov and Benton is revealed as a double agent. Gabe kills Benton and frees Phagan, but Aramov, who is captured, again escapes custody.

Gabe goes to Rhoemer's secret base in Rozova, Kazakhstan. He kills Rhoemer's commander Vladislav Gabrek and destroys the base, but Lian is taken captive and presumably killed by Rhoemer.

Gabe is then sent to infiltrate Rhoemer's stronghold in Uzhhorod, Ukraine, which is an abandoned cathedral. Injecting viral patients with what he is convinced is an antidote, Gabe descends deeper into the cathedral to rescue Lian; who explains that there is no 'global' antidote for the virus. They also find Phagan, who is later killed by Aramov. She decides to help Gabe and Lian, since she has nowhere else to go.

Gabe then infiltrates the PHARCOM warehouses in Almaty, Kazakhstan, where PHARCOM security is battling Rhoemer's men. Gabe learns that Markinson, who had been secretly negotiating with Rhoemer to obtain Syphon Filter for the Agency, had made Gabe inject the patients with potassium chloride. Rhoemer reveals he has captured a Soviet-era nuclear ICBM. Rhoemer shoots Markinson and starts the launch sequence for the missile. Gabe cannot prevent it from launching, so his only hope is to initiate its self-destruct sequence once it is in the upper atmosphere. Gabe successfully destroys the missile. Rhoemer, furious at Logan's interference, engages him in a final showdown. Gabe is able to kill him and avert World War III.

In a post-credits scene, the shadowy figure from the beginning of the game is holding a sample of Syphon Filter inside the Agency's headquarters with Aramov, who is laughing.",1999-02-17 00:00:00.000,26,NULL,90.0000,1,78.6332,79
162544,22,System Shock 2,"The game takes place on board a starship in a cyberpunk depiction of 2114. The player assumes the role of a lone soldier trying to stem the outbreak of a genetic infection that has devastated the ship. Like System Shock, gameplay consists of first-person shooting and exploration. It also incorporates role-playing system elements, in which the player can develop unique skills and traits, such as hacking and psionic abilities.",1999-08-11 00:00:00.000,114,NULL,NULL,NULL,89.7552,250
181898,85895,Tabaluga,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125817,8279,T'ai Fu: Wrath of the Tiger,NULL,1999-02-28 00:00:00.000,1,NULL,NULL,NULL,75.5856,5
9810,209949,Taiyou no Otsuge,NULL,1999-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
173166,45062,Tall Infinity,NULL,1999-12-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80144,37792,Tamagotchi Town,NULL,1999-05-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91722,20174,Tane o Maku Tori,NULL,1999-05-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
92443,11779,Tank Racer,NULL,1999-03-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
172314,11780,Tanktics,NULL,1999-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
159258,78265,Tantei Jinguuji Saburou: Kagaribi ga Kienu Mani,NULL,1999-11-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
166256,49967,Tazmanian Devil: Munching Madness,NULL,1999-11-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
184210,6359,Team Fortress Classic,NULL,1999-04-07 00:00:00.000,15,NULL,NULL,NULL,69.9157,39
57776,118558,Ted Nugent - Wild Hunting Adventure,NULL,1999-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
175181,1248,Tekken Card Challenge,"The story mode plays on a 15x15 grid map covered with shrines, villages, and impassible mountains. You will only have a certain number of steps to make it to stage exit or you'll lose. Of course this Harshadic field is populated with a grave propensity of villains. Roving in the dark, for all the area of the world is obscured by 'fog' until the player walks there, are mysterious stormtroopers called Crow, Owl, Eagle. Also wandering the land are Tekken characters who hold long standing grudges against the player's character. Above it all in a high tower is the heinous Ogre, can he be defeated?

Along the way cards can be found that will increase the amount of moves that can be performed in combat. Sacred ziggurats exist, two per map, that will heal wounds and, if enough enemies have been defeated since the last shrine, a new form of attack card be obtained. These shrines may not be reentered.",1999-06-17 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
79861,1249,Tekken Tag Tournament,"Tekken Tag Tournament is not a part of the Tekken canonical storyline. This allowed Namco to bring back the characters that did not appear in Tekken 3 (such as Baek Doo San, Bruce Irvin, Jun Kazama, Kunimitsu, and Michelle Chang). The ages of the characters in this game are the same as the ages that they had in the last game that they were in.

Because Tekken Tag Tournament is a non-canonical game, it has no story. It is more of a compilation of Tekken, Tekken 2, and Tekken 3, allowing players to use almost every character in the Tekken series. The only characters that did not return from previous games are the first King, Marshall Law, the first Jack robot, the first Kuma, Gon, and Doctor Boskonovitch (although Dr. Boskonovitch does make a cameo appearance in Tekken Bowl).

Tekken Tag Tournament also introduced two new characters, Tetsujin and Unknown. Tetsujin is a ""pallette swap"" for Mokujin. Unknown is the final boss of Tekken Tag Tournament. Both of these new characters are ""mimic"" characters. Tetsujin never returned to any game in the Tekken series, but Unknown returned - once again, non-canonical - Tekken Tag Tournament 2.",1999-07-01 00:00:00.000,20,NULL,NULL,NULL,80.2648,106
176839,43836,Tenchu: Shinobi Hyakusen,NULL,1999-12-11 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
176797,37475,Terrors,NULL,1999-09-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
146796,4111,Test Drive 6,NULL,1999-10-31 00:00:00.000,4,NULL,NULL,NULL,63.6903,11
147092,49905,Test Drive Off-Road 3,NULL,1999-10-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
110577,37454,Tetsuman,NULL,1999-08-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
124442,1986,The 4th Coming,NULL,1999-05-14 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
75364,44856,The Adventure of Little Ralph,NULL,1999-06-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
97116,222714,The Adventures of Bouapha: Spooky Castle,NULL,1999-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
173600,69682,The Adventures of Elmo in Grouchland,NULL,1999-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
45596,144951,THE AIRS,"On a world called Floatia, a land of continents floating in mid-air, a young man named Tigaro is about to be drawn into an adventure of a lifetime.",1999-03-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
95318,127557,The Book of Watermarks,NULL,1999-07-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
127840,142139,The ClueFinders 6th Grade Adventures: The Empire of the Plant People,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84934,151716,The Crystal Rainforest,NULL,1999-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
190210,13770,The Famous Five: Treasure Island,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
143951,73526,The Forgotten: It Begins,NULL,1999-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
58140,73638,The Guardian of Darkness,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
